237,92,129
238,93,127
238,94,126
239,95,124
239,96,122
240,97,120
240,98,118
241,99,117
241,100,115
241,102,113
242,103,111
242,104,109
242,105,107
243,106,104
243,107,102
243,108,100
243,109,97
243,111,95
244,112,93
244,113,90
244,114,87
244,115,84
244,116,82
244,118,78
244,119,75
244,120,72
245,121,69
245,122,65
245,124,61
245,125,57
245,126,52
244,127,47
244,128,41
244,130,34
244,131,26
243,133,28
241,135,30
240,136,32
239,138,34
237,140,36
236,141,37
235,143,39
234,144,40
233,146,41
232,147,43
231,149,44
230,150,45
229,151,46
228,153,47
227,154,48
226,155,49
225,156,50
225,158,51
224,159,52
223,160,53
222,161,54
221,162,55
221,163,56
220,164,57
219,166,58
219,167,59
218,168,60
217,169,60
216,170,61
216,171,62
215,172,63
214,173,64
214,174,65
213,175,65
212,176,66
212,177,67
211,178,68
211,179,69
210,180,69
209,181,70
209,182,71
208,183,72
207,184,73
207,185,74
206,186,75
205,187,75
205,188,76
204,189,77
203,190,78
203,191,79
202,192,80
201,193,81
200,194,82
200,195,83
199,195,84
198,196,85
198,197,85
196,197,85
194,197,85
192,197,85
190,197,85
188,196,85
186,196,85
184,196,84
182,196,84
180,196,84
178,196,84
176,195,84
174,195,83
172,195,83
170,195,83
168,194,83
166,194,83
164,194,83
162,194,82
160,194,82
158,193,82
156,193,82
153,193,82
151,193,81
149,193,81
146,193,81
144,192,81
141,192,81
139,192,81
136,192,80
133,192,80
131,191,80
128,191,80
125,191,79
122,191,79
119,191,79
115,191,79
112,191,78
108,191,78
104,190,78
100,190,78
96,190,77
91,190,77
86,190,77
81,190,77
77,190,78
77,189,84
77,188,89
78,187,93
78,186,97
79,185,101
79,185,104
79,184,107
80,183,109
80,182,112
80,181,114
81,180,116
81,180,118
81,179,120
82,178,121
82,177,123
82,177,124
82,176,125
83,175,127
83,174,128
83,174,129
83,173,130
83,172,131
84,171,132
84,171,132
84,170,133
84,169,134
84,168,135
84,168,135
84,167,136
85,166,136
85,166,137
85,165,137
85,164,138
85,163,138
85,163,138
85,162,139
85,161,139
85,161,139
85,160,140
85,159,140
86,159,140
86,158,140
86,157,140
86,156,141
86,156,141
86,155,141
86,154,141
86,154,141
86,153,141
86,152,141
86,152,141
86,151,141
86,150,141
86,150,141
86,149,141
86,148,141
86,148,141
86,147,141
86,146,141
86,146,141
86,145,141
86,145,141
86,144,141
86,143,141
86,143,141
86,142,141
86,141,140
86,141,140
85,140,140
85,139,140
85,139,140
84,138,140
84,138,140
84,137,140
83,136,140
83,136,140
83,135,140
82,135,140
82,134,139
82,133,139
81,133,139
81,132,139
81,132,139
80,131,139
80,130,139
80,130,139
79,129,139
79,129,139
79,128,139
78,127,139
78,127,139
78,126,139
77,126,139
77,125,139
77,124,139
76,124,139
76,123,139
76,123,139
75,122,139
75,121,139
75,121,139
74,120,139
74,120,139
74,119,139
73,118,139
73,118,139
72,117,139
72,116,139
72,116,139
71,115,140
71,115,140
71,114,140
70,113,140
70,113,141
69,112,141
69,111,141
69,111,142
68,110,142
68,109,143
